Date,Stage,cell_id,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300
9/10/13,S2,38,NaN,NaN,152.46,159.37,142.15,142.95,136.64,138.45,170.28,157.54,180.35,205.87,197.70,214.25,235.97,245.54,252.67,277.27,289.76,338.99,367.51,331.30,356.62,359.95,370.88,405.08,398.58,386.75,385.55,397.77,402.37,381.61,397.50,372.70,359.44,376.74,359.67,344.51,350.15,328.95,334.40,312.56,311.92,302.21,305.43,303.38,276.12,277.85,271.58,261.56,266.60,256.61,246.44,252.57,240.45,239.80,232.89,233.27,229.26,214.40,206.87,213.69,209.56,204.56,205.62
9/10/13,S5,39,NaN,NaN,153.15,165.30,167.51,160.51,179.82,200.92,236.21,267.44,296.68,324.34,320.35,336.90,311.50,321.01,334.40,307.44,323.41,308.08,329.36,331.87,338.91,369.57,422.96,384.03,398.64,386.02,375.88,423.32,375.99,368.49,353.98,369.39,355.88,321.97,299.53,272.43,252.28,251.72,245.54,239.52,242.76,216.80,218.61,219.89,203.29,197.41,194.36,189.27,177.01,171.46,157.10,152.80,149.41,141.68,130.76,125.58,127.34,123.26,120.05,122.75,126.75,NaN,NaN
9/10/13,S5,40,NaN,NaN,155.13,166.24,163.82,154.95,168.36,172.43,214.15,245.23,288.52,335.53,379.15,440.53,478.71,543.48,578.62,640.92,646.90,690.73,754.98,798.89,825.75,914.76,940.50,878.26,874.97,899.60,883.15,881.88,856.88,829.51,801.08,810.13,801.33,745.72,732.97,707.50,656.16,646.20,656.97,645.06,634.55,582.13,562.07,521.45,512.46,481.50,452.22,429.73,416.33,424.03,399.57,390.77,372.99,364.41,333.61,317.27,308.34,280.01,257.11,263.37,265.46,NaN,NaN
9/10/13,S5,41,NaN,NaN,159.59,166.84,168.46,153.68,170.46,171.77,206.63,236.49,260.46,293.06,298.01,324.48,328.17,358.32,359.13,366.03,353.19,349.94,357.93,350.88,323.47,337.54,325.55,322.88,307.04,302.66,265.84,313.97,290.91,264.85,259.43,253.17,242.06,235.82,325.97,320.19,329.73,309.31,299.52,343.27,341.95,332.00,315.33,320.91,309.73,298.60,246.86,239.09,233.94,219.96,199.18,204.43,208.85,197.55,196.24,183.59,194.94,223.23,240.51,238.73,242.41,NaN,NaN
9/10/13,S1,42,NaN,NaN,162.26,166.60,174.89,180.67,204.70,227.70,277.87,292.16,312.34,332.53,401.48,380.31,424.64,419.66,477.73,504.43,493.40,480.86,478.47,474.23,469.69,488.35,510.17,493.83,473.34,466.74,453.33,429.80,401.86,388.58,390.97,369.68,348.81,351.79,298.39,308.06,286.36,264.01,250.92,234.96,228.21,215.91,202.82,191.56,219.00,197.61,196.43,197.78,195.77,196.93,183.66,166.99,174.34,161.19,151.87,145.55,146.25,138.70,134.04,135.20,123.79,116.97,104.56
9/10/13,S1,43,NaN,NaN,162.80,162.82,160.16,167.93,181.35,203.18,238.18,283.78,314.73,357.21,408.41,430.40,496.31,507.78,563.43,588.53,642.22,663.56,699.96,707.32,723.03,798.51,785.49,787.58,795.90,792.91,793.28,789.89,738.86,715.06,698.48,706.19,635.64,625.83,616.74,566.94,609.25,577.96,553.67,545.18,515.20,501.92,500.48,483.24,456.70,453.40,439.62,424.75,417.98,429.67,416.63,407.52,355.99,354.33,363.03,346.39,317.48,299.28,290.82,296.39,278.36,279.62,268.36
9/10/13,S5,44,NaN,NaN,162.88,177.84,171.84,158.18,163.92,156.60,167.03,154.48,158.06,161.45,162.49,177.45,192.97,211.53,210.36,211.23,206.87,217.61,228.59,246.49,278.61,306.21,302.74,293.89,299.80,304.34,302.18,314.23,297.02,293.90,284.69,280.82,272.42,258.47,258.57,250.60,246.58,222.69,215.66,208.28,200.49,188.55,194.61,196.60,215.53,201.59,202.03,193.21,191.22,169.30,160.82,155.36,146.36,139.40,140.43,127.22,131.43,127.96,123.13,127.39,133.86,NaN,NaN
9/10/13,S2,45,NaN,NaN,164.53,179.95,178.76,196.79,193.49,211.18,248.65,242.88,284.44,335.79,380.59,405.70,453.22,489.21,525.63,569.03,581.58,641.96,664.19,683.16,717.25,755.42,741.92,774.28,732.15,702.89,678.42,694.11,683.72,634.34,619.07,578.67,522.78,489.55,515.11,496.08,502.99,449.38,439.97,421.57,410.19,411.61,422.22,430.18,407.24,419.51,425.12,429.65,431.33,412.31,379.93,360.89,359.39,345.56,332.68,322.02,322.05,309.06,300.65,287.75,286.72,267.37,265.86
9/10/13,S1,46,NaN,NaN,165.55,165.23,163.33,166.48,185.40,204.34,230.73,283.25,298.42,321.86,357.72,397.08,441.75,478.63,539.99,554.73,601.93,640.01,683.64,676.75,713.50,761.16,763.23,833.22,823.97,818.42,812.53,774.37,741.30,774.04,765.80,728.10,685.23,727.81,665.35,662.34,659.27,612.09,609.94,616.07,589.97,598.09,581.27,573.79,549.22,505.43,496.88,436.31,461.95,439.92,432.34,424.78,398.76,398.77,371.27,355.63,345.82,319.67,316.24,302.29,293.82,297.12,293.01
9/10/13,S6,47,NaN,NaN,168.26,151.66,171.06,168.13,179.93,206.24,232.10,272.03,289.31,314.10,362.17,399.93,464.59,484.76,528.54,550.11,583.48,590.02,666.05,690.39,743.69,747.11,796.87,753.91,801.32,829.12,774.86,738.62,754.02,765.17,731.39,715.86,687.34,659.72,670.31,625.88,643.04,601.92,600.99,573.98,579.00,567.27,575.06,512.01,523.26,474.60,439.49,420.80,431.18,422.60,410.34,392.18,385.41,374.34,361.64,342.45,318.22,317.32,304.79,295.78,289.67,286.11,294.07
9/10/13,S1,48,NaN,NaN,169.86,175.75,172.13,181.53,195.85,223.54,270.78,315.05,362.24,405.35,460.73,482.34,545.22,565.11,611.49,670.90,704.81,739.89,785.84,789.27,844.78,917.81,916.85,963.78,945.93,918.19,941.22,899.28,871.59,824.11,842.10,799.37,743.79,751.58,694.35,656.28,635.69,564.88,535.38,578.37,526.25,507.64,477.23,444.54,437.74,410.39,410.93,399.64,409.74,395.33,386.45,371.58,365.59,341.89,314.98,306.13,271.74,271.52,258.05,237.96,223.38,215.62,207.73
9/10/13,S5,49,NaN,NaN,171.16,156.31,156.59,147.47,150.25,151.50,163.49,175.58,178.14,185.86,183.13,201.73,220.31,245.23,235.72,274.15,264.33,286.22,317.74,347.67,387.60,439.30,459.66,418.97,400.90,404.47,397.78,439.34,396.29,375.91,381.40,372.70,351.79,332.28,326.25,321.00,294.66,257.43,268.83,259.64,266.28,256.80,247.75,252.31,260.57,264.13,265.76,270.54,270.26,281.18,244.14,239.78,237.04,246.96,231.74,211.57,210.42,208.44,202.23,198.45,197.76,NaN,NaN
