,id,timepoint,Date,t=-10,t=-30,t=-20,Phase,t=
343,148,10,4/19/12,,,,S,
344,149,10,4/19/12,91.92,76.91,89.27,S,93.79
345,150,10,4/19/12,38.42,31.45,38.77,S,41.76
346,151,10,4/19/12,,,,G2/M,
347,152,10,4/19/12,,,,G2/M,
348,153,10,4/19/12,,,,G2/M,
349,154,10,4/19/12,52.8,44.51,47.46,G2/M,52.6
350,155,10,4/19/12,,,,G2/M,
351,156,10,4/19/12,42.27,41.41,35.75,G2/M,58.18
352,157,10,4/19/12,60.21,53.48,53.99,G2/M,64.34
353,158,10,4/19/12,43.78,28.7,34.67,G2/M,57.74
354,159,10,4/19/12,,,,G2/M,
355,160,10,4/19/12,,,,G2/M,
356,161,10,4/19/12,99.81,89.65,94.91,G2/M,91.65
357,162,10,4/19/12,,,,G2/M,
358,163,10,4/19/12,51.55,46.49,48.22,G2/M,59.21
359,164,10,4/19/12,,,,G2/M,
360,165,10,4/19/12,41.47,41.21,40.76,G2/M,52.0
361,166,10,4/19/12,,,,G2/M,
362,167,10,4/19/12,40.06,41.79,38.46,G2/M,48.39
363,168,10,4/19/12,,,,G2/M,
364,169,10,4/19/12,,,,G2/M,
365,170,10,4/19/12,,,,G2/M,
366,171,10,4/19/12,40.32,27.73,30.68,G2/M,57.12
367,172,10,4/19/12,45.08,43.02,41.44,G2/M,53.68
368,173,10,4/19/12,54.46,29.39,39.76,G2/M,74.98
369,174,10,4/19/12,,,,G2/M,
370,175,10,4/19/12,,,,G2/M,
371,176,10,4/19/12,,,,G2/M,
372,177,10,4/19/12,,,,G2/M,
373,178,10,4/19/12,51.13,52.64,48.68,G2/M,48.16
374,179,10,4/19/12,49.57,49.55,48.03,G2/M,57.85
375,180,10,4/19/12,61.49,42.47,53.29,G2/M,74.22
376,181,10,4/19/12,42.64,38.76,39.34,G2/M,53.75
377,182,10,4/19/12,43.76,42.08,40.26,G2/M,43.17
378,183,10,4/19/12,,,,G2/M,
379,184,10,4/19/12,50.08,47.18,49.38,G2/M,58.1
380,185,10,4/19/12,40.46,38.14,40.32,G2/M,42.98
381,186,10,4/19/12,,,,G2/M,
382,187,10,4/19/12,41.94,40.29,40.5,G2/M,42.72
383,188,10,4/19/12,,,,G2/M,
384,189,10,4/19/12,,,,G2/M,
385,190,10,4/19/12,64.56,61.19,64.14,G2/M,66.56
386,191,10,4/19/12,63.39,60.61,63.54,G2/M,72.51
387,192,10,4/19/12,39.04,39.6,42.72,G2/M,44.89
388,193,10,4/19/12,,,,G2/M,
389,194,10,4/19/12,48.89,43.32,45.17,G2/M,59.31
390,0,20,3/28/13,69.94,58.06,65.03,G1,142.83
391,1,20,3/28/13,83.39,70.03,77.97,G1,160.88
